Name	ZS	DA	GG	NO	QU	SL	TA	WE	ZY
led1	1	1	1	1	1	1	1	1	1
led2	1	1	1	1	1	1	1	1	1
led3	1	1	1	1	1	1	1	1	1
led4	1	1	1	1	1	1	1	1	1
led5	1	1	1	1	1	1	1	1	1
led6	1	1	1	1	1	1	1	1	1
led7	1	1	1	1	1	1	1	1	1
led8	1	1	1	1	1	1	1	1	1
led9	1	1	1	1	1	1	1	1	1
led10	1	1	1	1	1	1	1	0	1
led11	1	0	1	1	1	1	1	1	1
led12	1	1	1	1	1	1	1	1	1
led13	1	1	1	1	1	1	1	1	1
led14	1	1	1	1	1	1	1	1	1
led15	1	1	1	1	1	1	1	1	1
led16	1	1	1	1	1	1	1	1	1
led17	0	1	1	1	1	1	1	1	1
led18	1	0	1	1	1	1	1	1	1
led19	1	1	1	1	1	1	1	1	1
led20	1	1	1	1	1	1	1	1	1
led21	1	1	1	1	1	1	1	1	1
led22	1	1	1	1	1	1	1	1	1
led23	1	1	1	1	1	1	1	1	1
led24	1	1	1	1	1	1	1	1	1
led25	1	1	1	1	1	1	1	1	1
led26	1	1	1	1	1	1	1	1	1
led27	1	1	1	1	1	1	1	1	1
led28	1	1	1	1	1	1	1	1	1
led29	1	1	1	1	1	1	1	1	1
led30	1	1	1	1	1	1	1	1	1
led31	1	1	1	1	1	1	1	1	1
led32	1	1	1	1	1	1	1	1	1
led33	1	1	1	1	1	1	1	1	1
led34	1	1	1	1	1	1	1	1	1
led35	1	1	1	1	1	1	1	1	1
led36	1	1	1	1	1	1	1	1	1
led37	1	1	1	1	1	1	1	1	1
led38	1	1	1	1	1	1	1	1	1
led39	1	1	1	1	1	1	1	1	1
led40	1	1	1	1	1	1	1	1	1
led41	1	1	1	1	1	1	1	1	1
led42	1	1	1	1	1	1	1	1	1
led43	1	1	1	1	1	1	1	1	1
led44	1	1	1	1	1	1	1	1	1
led45	1	1	1	1	1	1	1	1	1
led46	1	1	1	1	1	1	1	1	1
led47	1	1	1	1	1	1	1	1	1
led48	1	1	1	1	1	1	1	1	1
led49	1	1	1	1	1	1	1	1	1
led50	1	1	1	1	1	1	1	1	1
led51	1	1	1	1	1	1	1	1	1
led52	1	1	1	1	1	1	1	1	1
led53	1	1	1	1	1	1	1	1	1
led54	1	1	1	1	1	1	1	1	1
led55	1	1	1	1	1	1	1	1	1
led56	1	1	1	1	1	1	1	1	1
led57	1	1	1	1	1	1	1	1	1
led58	1	1	1	1	1	1	1	1	1
led59	1	1	0	1	1	1	0	1	1
led60	1	1	1	1	1	1	1	1	1
led61	1	1	1	1	1	1	1	1	1
led62	1	1	1	1	1	1	1	1	1
led63	1	1	1	1	1	1	1	1	1
led64	1	1	1	1	1	1	1	1	1
led65	1	1	1	1	1	1	1	1	1
led66	1	1	1	1	1	1	1	1	1
led67	1	1	1	1	1	1	1	1	1
led68	1	1	1	1	1	1	1	1	1
led69	1	1	1	1	1	1	1	1	1
led70	1	1	1	1	1	1	1	1	1
led71	1	1	1	1	1	1	1	1	1
led72	1	1	1	1	1	1	1	1	1
led73	1	1	1	1	1	1	1	1	1
led74	1	1	1	1	1	1	1	1	1
led75	1	1	1	1	1	1	1	1	1
led76	1	1	1	1	1	1	1	1	1
led77	1	1	1	1	1	1	1	1	1
led78	1	1	1	1	1	1	1	1	1
led79	1	1	1	1	1	1	1	1	1
led80	1	1	1	1	1	1	1	1	1
led81	1	1	1	1	1	1	1	1	1
led82	1	1	1	1	1	1	1	1	1
led83	1	1	1	1	1	1	1	1	1
led84	1	1	1	1	1	1	1	1	1
led85	1	1	1	1	1	1	1	1	1
led86	1	1	1	1	1	1	1	1	1
led87	1	1	1	1	1	1	1	1	1
led88	1	1	1	1	1	1	1	1	1
led89	1	1	1	1	1	1	1	1	1
led90	1	1	1	1	1	1	1	1	1
led91	1	1	1	1	1	1	1	1	1
led92	1	1	1	1	1	1	1	1	1
led93	1	1	1	1	1	1	1	1	1
led94	1	1	1	1	1	1	1	1	1
led95	1	1	1	1	1	1	1	1	1
led96	1	1	1	1	1	1	1	1	1
led97	1	1	1	1	1	1	1	1	1
led98	1	1	1	1	1	1	1	1	1
led99	1	1	1	1	1	1	1	1	1
led100	1	1	1	1	1	1	1	1	1
led101	1	1	1	1	1	1	1	1	1
led102	1	1	1	1	1	1	1	1	1
led103	1	1	1	1	1	1	1	1	1
led104	1	1	1	1	1	1	1	1	1
led105	1	1	1	1	1	1	1	1	1
led106	1	1	1	1	1	1	1	1	1
led107	1	1	1	1	1	1	1	1	1
led108	1	1	1	1	1	1	1	1	1
led109	1	1	1	1	1	1	1	1	1
led110	1	1	1	1	1	1	1	1	1
led111	1	1	1	1	1	1	1	1	1
led112	1	1	1	1	1	1	1	1	1
led113	1	1	1	1	1	1	1	1	1
led114	1	1	1	1	1	1	1	1	1
led115	1	1	1	1	1	1	1	1	1
led116	1	1	1	1	1	1	1	1	1
led117	1	1	1	1	1	1	1	1	1
led118	1	1	1	1	1	1	1	1	1
led119	1	1	1	1	1	1	1	1	1
led120	1	1	1	1	1	1	1	1	1
led121	1	1	1	1	1	1	1	1	1
led122	1	1	1	1	1	1	1	1	1
led123	1	1	1	1	1	1	1	1	1
led124	1	1	1	1	1	1	1	1	1
led125	1	1	1	1	1	1	1	1	1
led126	1	1	1	1	1	1	1	1	1
led127	1	1	1	1	1	1	1	1	1
led128	1	1	1	1	1	1	1	1	1
led129	1	1	1	1	1	1	1	1	1
led130	1	1	1	1	1	1	1	1	1
led131	1	1	1	1	1	1	1	1	1
led132	1	1	1	1	1	1	1	1	1
led133	1	1	1	1	1	1	1	1	1
led134	1	1	1	1	1	1	1	1	1
led135	1	1	1	1	1	1	1	1	1
led136	1	1	1	1	1	1	1	1	1
led137	1	1	1	1	1	1	0	1	1
led138	1	1	1	1	1	1	1	1	1
led139	1	1	1	1	1	1	1	1	1
led140	1	1	1	1	1	1	1	1	1
led141	1	1	1	1	1	1	1	1	1
led142	1	1	1	1	1	1	1	1	1
led143	1	1	1	1	1	1	1	1	1
led144	1	1	1	1	1	1	1	1	1
led145	1	1	1	1	1	1	1	1	1
led146	1	1	1	1	1	1	1	1	1
led147	1	1	1	1	1	1	1	1	1
led148	1	1	1	1	1	1	1	1	1
led149	1	1	1	1	1	1	1	1	1
led150	1	1	1	1	1	1	1	1	1
led151	1	1	1	1	1	1	1	1	1
led152	1	1	1	1	1	1	1	1	1
led153	1	1	1	1	1	1	1	1	1
led154	1	1	1	1	1	1	1	1	1
led155	1	1	1	1	1	1	1	1	1
led156	1	1	1	1	1	1	1	1	1
led157	1	1	1	1	1	1	1	1	1
led158	1	1	1	1	1	1	1	1	1
led159	1	1	1	1	1	1	1	1	1
led160	1	1	1	1	1	1	1	1	1
led161	1	1	1	1	1	1	1	1	1
led162	1	1	1	1	1	1	1	1	1
led163	1	1	1	1	1	1	1	1	1
led164	1	1	1	1	1	1	1	1	1
led165	1	1	1	1	1	1	1	1	1
led166	1	1	1	1	1	1	1	1	1
led167	1	1	1	1	1	1	1	1	1
led168	1	1	1	1	1	1	1	1	1
led169	1	1	1	1	1	1	1	1	1
led170	1	1	1	1	1	1	1	1	1
led171	1	1	1	1	1	1	1	1	1
led172	1	1	1	1	1	1	1	1	1
led173	1	1	1	1	1	1	1	1	1
led174	1	1	1	1	1	1	1	1	1
led175	1	1	1	1	1	1	1	1	1
led176	1	1	1	1	1	1	1	1	1
led177	1	1	1	1	1	1	1	1	1
led178	1	1	1	1	1	1	1	1	1
led179	1	1	1	1	1	1	1	1	1
led180	1	1	1	1	1	1	1	1	1
led181	1	1	1	1	1	1	1	1	1
led182	1	1	1	1	1	1	1	1	1
led183	1	1	1	1	1	1	1	1	1
led184	1	1	1	1	1	1	1	1	1
led185	1	1	1	0	0	1	1	1	0
led186	1	1	1	1	1	1	1	1	1
led187	1	1	1	1	1	1	1	1	1
led188	1	1	1	1	1	1	1	1	1
led189	1	1	1	1	1	1	1	1	1
led190	1	1	1	1	1	1	1	1	1
led191	1	1	1	1	1	1	1	1	1
