	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G01180.1	AT3G01180.1	A.thaliana Araport11	3.52e-142	90	219	+/+	A01p50810.2_BraZ1	320	538	575	793	429.869	198	207	0	538	793
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G01180.1	AT3G01180.1	A.thaliana Araport11	8.79e-106	63	328	+/+	A01p50810.2_BraZ1	39	326	94	416	335.109	207	228	45	538	793
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G24300.2	AT5G24300.2	A.thaliana Araport11	9.92e-81	61	210	+/+	A01p50810.2_BraZ1	332	537	439	643	265.774	128	155	9	538	653
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G24300.2	AT5G24300.2	A.thaliana Araport11	1.88e-21	46	135	+/+	A01p50810.2_BraZ1	206	326	134	266	98.5969	62	75	16	538	653
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G24300.1	AT5G24300.1	A.thaliana Araport11	9.92e-81	61	210	+/+	A01p50810.2_BraZ1	332	537	439	643	265.774	128	155	9	538	653
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G24300.1	AT5G24300.1	A.thaliana Araport11	1.88e-21	46	135	+/+	A01p50810.2_BraZ1	206	326	134	266	98.5969	62	75	16	538	653
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G32900.1	AT1G32900.1	A.thaliana Araport11	7.41e-41	41	217	+/+	A01p50810.2_BraZ1	322	532	372	584	156.377	88	129	10	538	611
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G32900.1	AT1G32900.1	A.thaliana Araport11	1.67e-13	43	125	+/+	A01p50810.2_BraZ1	215	326	84	208	73.559	54	71	13	538	611
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G11720.1	AT1G11720.1	A.thaliana Araport11	4.40e-32	38	216	+/+	A01p50810.2_BraZ1	331	534	827	1041	132.109	81	117	13	538	1043
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G11720.1	AT1G11720.1	A.thaliana Araport11	1.05e-9	31	121	+/+	A01p50810.2_BraZ1	215	331	594	712	62.003	38	61	6	538	1043
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G11720.2	AT1G11720.2	A.thaliana Araport11	4.62e-32	38	216	+/+	A01p50810.2_BraZ1	331	534	879	1093	132.109	81	117	13	538	1095
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G11720.2	AT1G11720.2	A.thaliana Araport11	1.03e-9	31	121	+/+	A01p50810.2_BraZ1	215	331	646	764	62.003	38	61	6	538	1095
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G18240.1	AT4G18240.1	A.thaliana Araport11	1.31e-29	35	206	+/+	A01p50810.2_BraZ1	331	529	820	1025	124.405	73	114	7	538	1041
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G18240.1	AT4G18240.1	A.thaliana Araport11	1.32e-7	47	53	+/+	A01p50810.2_BraZ1	217	267	544	596	55.0694	25	36	2	538	1041
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G01220.1	AT5G01220.1	A.thaliana Araport11	1.20e-4	27	156	+/+	A01p50810.2_BraZ1	349	503	306	450	45.4394	42	70	12	538	511
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G01220.2	AT5G01220.2	A.thaliana Araport11	8.85e-4	28	119	+/+	A01p50810.2_BraZ1	349	466	306	417	42.3578	33	56	8	538	434
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G67150.1	AT5G67150.1	A.thaliana Araport11	0	73	365	+/+	A02p19770.2_BraZ1	3	364	4	366	523.857	267	307	5	364	449
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G50280.1	AT3G50280.1	A.thaliana Araport11	8.48e-146	58	364	+/+	A02p19770.2_BraZ1	1	363	1	358	420.239	211	278	7	364	444
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G50300.1	AT3G50300.1	A.thaliana Araport11	5.85e-135	57	366	+/+	A02p19770.2_BraZ1	1	363	1	358	392.889	209	263	11	364	449
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G50270.1	AT3G50270.1	A.thaliana Araport11	2.50e-131	56	364	+/+	A02p19770.2_BraZ1	4	364	6	365	383.645	203	266	7	364	451
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G38130.1	AT5G38130.1	A.thaliana Araport11	4.30e-131	55	363	+/+	A02p19770.2_BraZ1	1	362	21	375	383.645	200	262	9	364	463
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G67160.1	AT5G67160.1	A.thaliana Araport11	1.91e-115	51	363	+/+	A02p19770.2_BraZ1	3	363	4	353	342.813	185	246	15	364	435
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G50280.2	AT3G50280.2	A.thaliana Araport11	2.15e-86	56	232	+/+	A02p19770.2_BraZ1	133	363	1	228	264.233	131	178	5	364	314
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G50290.1	AT3G50290.1	A.thaliana Araport11	1.80e-85	57	238	+/+	A02p19770.2_BraZ1	127	363	1	237	260.381	135	169	2	364	274
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G07860.1	AT5G07860.1	A.thaliana Araport11	2.07e-59	36	367	+/+	A02p19770.2_BraZ1	2	359	6	363	199.134	133	194	18	364	455
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G42830.1	AT5G42830.1	A.thaliana Araport11	2.72e-57	34	352	+/+	A02p19770.2_BraZ1	27	363	29	365	193.356	121	187	30	364	451
